Occupancy,Flood,Age
0.179,0.000,0.064
0.179,0.000,0.066
0.179,0.000,0.068
0.179,0.000,0.070
0.214,0.167,0.062
0.214,0.000,0.063
0.214,0.000,0.065
0.214,0.000,0.067
0.214,0.000,0.069
0.214,0.000,0.072
0.214,0.000,0.074
0.214,0.000,0.076
0.214,0.000,0.078
0.250,0.143,0.069
0.250,0.000,0.071
0.250,0.000,0.074
0.250,0.000,0.076
0.250,0.000,0.079
0.214,0.000,0.061
0.214,0.000,0.063
0.214,0.000,0.066
0.214,0.000,0.068
0.214,0.000,0.073
0.214,0.000,0.074
0.214,0.000,0.077
0.214,0.000,0.079
0.214,0.000,0.081
0.214,0.000,0.083
0.214,0.000,0.086
0.214,0.000,0.088
0.214,0.000,0.090
0.214,0.000,0.092
0.321,0.333,0.063
0.321,0.000,0.064
0.250,0.000,0.026
0.250,0.000,0.027
0.250,0.000,0.028
0.250,0.000,0.029
0.250,0.000,0.029
0.250,0.000,0.030
0.250,0.000,0.031
0.250,0.000,0.032
0.250,0.000,0.033
0.250,0.000,0.034
0.250,0.000,0.035
0.250,0.000,0.036
0.250,0.000,0.037
0.250,0.000,0.038
0.250,0.000,0.039
0.250,0.000,0.041
0.250,0.000,0.042
0.250,0.000,0.043
0.250,0.000,0.044
0.250,0.000,0.045
0.250,0.000,0.046
0.250,0.000,0.047
0.250,0.000,0.048
0.250,0.000,0.049
0.250,0.000,0.050
0.250,0.000,0.051
0.250,0.000,0.051
0.214,0.000,0.028
0.214,0.000,0.028
0.214,0.000,0.029
0.214,0.000,0.029
0.214,0.000,0.030
0.214,0.000,0.031
0.214,0.000,0.031
0.214,0.000,0.032
0.214,0.000,0.032
0.214,0.000,0.033
0.250,0.143,0.029
0.214,0.000,0.000
0.214,0.000,0.000
0.214,0.000,0.000
0.214,0.000,0.000
0.214,0.000,0.000
0.214,0.000,0.000
0.214,0.000,0.003
0.214,0.000,0.000
0.214,0.000,0.000
0.250,0.143,0.001
0.250,0.000,0.001
0.250,0.000,0.001
0.250,0.000,0.002
0.250,0.000,0.002
0.250,0.000,0.003
0.250,0.000,0.003
0.250,0.000,0.004
0.250,0.000,0.004
0.321,0.222,0.004
0.321,0.000,0.005
0.321,0.000,0.006
0.321,0.000,0.007
0.321,0.000,0.008
0.321,0.000,0.007
0.321,0.000,0.009
0.321,0.000,0.010
0.321,0.000,0.011
0.321,0.000,0.012
0.321,0.000,0.013
0.321,0.000,0.014
0.321,0.000,0.015
0.321,0.000,0.017
0.321,0.000,0.017
0.321,0.000,0.018
0.321,0.000,0.020
0.321,0.000,0.022
0.321,0.000,0.023
0.321,0.000,0.024
0.321,0.000,0.025
0.321,0.000,0.026
0.321,0.000,0.027
0.321,0.000,0.029
0.321,0.000,0.030
0.321,0.000,0.031
0.321,0.000,0.032
0.321,0.000,0.033
0.321,0.000,0.034
0.393,0.182,0.029
0.393,0.000,0.030
0.393,0.000,0.032
0.393,0.000,0.033
0.393,0.000,0.035
0.393,0.000,0.035
0.393,0.000,0.036
0.393,0.000,0.038
0.393,0.000,0.039
0.393,0.000,0.041
0.393,0.000,0.042
0.393,0.000,0.044
0.393,0.000,0.045
0.393,0.000,0.047
0.393,0.000,0.049
0.393,0.000,0.050
0.393,0.000,0.053
0.393,0.000,0.054
0.393,0.000,0.056
0.393,0.000,0.058
0.393,0.000,0.061
0.357,0.000,0.047
0.357,0.000,0.047
0.357,0.000,0.049
0.357,0.000,0.050
0.357,0.000,0.051
0.357,0.000,0.053
0.357,0.000,0.054
0.357,0.000,0.055
0.357,0.000,0.057
0.357,0.000,0.058
0.357,0.000,0.059
0.357,0.000,0.061
0.357,0.000,0.062
0.357,0.000,0.063
0.357,0.000,0.065
0.357,0.000,0.066
0.357,0.000,0.067
0.357,0.000,0.069
0.357,0.000,0.025
0.357,0.000,0.026
0.357,0.000,0.028
0.357,0.000,0.029
0.357,0.000,0.030
0.357,0.000,0.030
0.357,0.000,0.031
0.357,0.000,0.036
0.357,0.000,0.036
0.357,0.000,0.037
0.357,0.000,0.038
0.357,0.000,0.039
0.357,0.000,0.041
0.357,0.000,0.042
0.357,0.000,0.043
0.357,0.000,0.045
0.357,0.000,0.046
0.357,0.000,0.047
0.357,0.000,0.049
0.357,0.000,0.050
0.357,0.000,0.051
0.357,0.000,0.053
0.357,0.000,0.054
0.321,0.000,0.038
0.286,0.000,0.019
0.286,0.000,0.020
0.286,0.000,0.022
0.286,0.000,0.024
0.286,0.000,0.025
0.321,0.111,0.020
0.321,0.000,0.022
0.321,0.000,0.023
0.321,0.000,0.025
0.321,0.000,0.026
0.321,0.000,0.031
0.321,0.000,0.033
0.321,0.000,0.034
0.321,0.000,0.036
0.321,0.000,0.035
0.321,0.000,0.038
0.321,0.000,0.040
0.321,0.000,0.042
0.321,0.000,0.041
0.321,0.000,0.043
0.321,0.000,0.044
0.321,0.000,0.046
0.321,0.000,0.047
0.321,0.000,0.049
0.357,0.100,0.045
0.357,0.000,0.047
0.357,0.000,0.049
0.357,0.000,0.050
0.357,0.000,0.052
0.357,0.000,0.052
0.357,0.000,0.054
0.357,0.000,0.055
0.357,0.000,0.057
0.357,0.000,0.058
0.321,0.000,0.033
0.321,0.000,0.038
0.321,0.000,0.038
0.321,0.000,0.040
0.321,0.000,0.041
0.321,0.000,0.043
0.321,0.000,0.044
0.321,0.000,0.046
0.321,0.000,0.047
0.321,0.000,0.049
0.321,0.000,0.051
0.286,0.000,0.032
0.286,0.000,0.031
0.286,0.000,0.032
0.286,0.000,0.033
0.286,0.000,0.035
0.286,0.000,0.036
0.286,0.000,0.037
0.286,0.000,0.038
0.286,0.000,0.040
0.286,0.000,0.041
0.286,0.000,0.043
0.286,0.000,0.044
0.286,0.000,0.045
0.286,0.000,0.046
0.286,0.000,0.048
0.286,0.000,0.048
0.286,0.000,0.050
0.250,0.000,0.032
0.286,0.125,0.030
0.286,0.000,0.032
0.286,0.000,0.034
0.286,0.000,0.036
0.286,0.000,0.038
0.286,0.000,0.039
0.286,0.000,0.041
0.286,0.000,0.044
0.286,0.000,0.045
0.286,0.000,0.048
0.286,0.000,0.050
0.286,0.000,0.052
0.286,0.000,0.054
0.286,0.000,0.055
0.286,0.000,0.058
0.286,0.000,0.060
0.286,0.000,0.062
0.286,0.000,0.064
0.286,0.000,0.066
0.286,0.000,0.068
0.286,0.000,0.070
0.286,0.000,0.072
0.286,0.000,0.075
0.286,0.000,0.077
0.286,0.000,0.078
0.286,0.000,0.081
0.286,0.000,0.083
0.286,0.000,0.085
0.286,0.000,0.090
0.321,0.111,0.071
0.321,0.000,0.074
0.321,0.000,0.075
0.250,0.000,0.037
0.250,0.000,0.039
0.250,0.000,0.037
0.250,0.000,0.038
0.250,0.000,0.040
0.250,0.000,0.042
0.250,0.000,0.044
0.250,0.000,0.046
0.250,0.000,0.048
0.250,0.000,0.050
0.250,0.000,0.052
0.250,0.000,0.053
0.250,0.000,0.056
0.250,0.000,0.057
0.250,0.000,0.059
0.250,0.000,0.060
0.321,0.222,0.049
0.321,0.000,0.050
0.321,0.000,0.053
0.321,0.000,0.054
0.321,0.000,0.057
0.321,0.000,0.059
0.321,0.000,0.061
0.321,0.000,0.063
0.321,0.000,0.069
0.286,0.000,0.055
0.250,0.000,0.036
0.250,0.000,0.039
0.250,0.000,0.040
0.250,0.000,0.042
0.250,0.000,0.043
0.250,0.000,0.046
0.250,0.000,0.047
0.250,0.000,0.050
0.250,0.000,0.051
0.286,0.125,0.046
0.286,0.000,0.048
0.286,0.000,0.051
0.286,0.000,0.052
0.286,0.000,0.055
0.286,0.000,0.054
0.286,0.000,0.058
0.286,0.000,0.060
0.286,0.000,0.062
0.286,0.000,0.064
0.286,0.000,0.066
0.286,0.000,0.067
0.286,0.000,0.070
0.286,0.000,0.071
0.286,0.000,0.074
0.286,0.000,0.078
0.286,0.000,0.081
0.286,0.000,0.083
0.286,0.000,0.085
0.286,0.000,0.087
0.286,0.000,0.089
0.286,0.000,0.091
0.286,0.000,0.093
0.286,0.000,0.095
0.286,0.000,0.098
0.286,0.000,0.099
0.286,0.000,0.102
0.286,0.000,0.102
0.286,0.000,0.104
0.286,0.000,0.107
0.286,0.000,0.108
0.286,0.000,0.110
0.286,0.000,0.113
0.286,0.000,0.115
0.286,0.000,0.117
0.286,0.000,0.119
0.286,0.000,0.121
0.286,0.000,0.123
0.286,0.000,0.125
0.143,0.000,0.030
0.143,0.000,0.030
0.143,0.000,0.032
0.143,0.000,0.032
0.143,0.000,0.033
0.143,0.000,0.033
0.143,0.000,0.038
0.143,0.000,0.038
0.143,0.000,0.040
0.143,0.000,0.040
0.250,0.429,0.025
0.250,0.000,0.027
0.250,0.000,0.029
0.250,0.000,0.030
0.250,0.000,0.033
0.250,0.000,0.027
0.250,0.000,0.029
0.250,0.000,0.031
0.250,0.000,0.033
0.321,0.222,0.002
0.321,0.000,0.003
0.321,0.000,0.004
0.321,0.000,0.003
0.321,0.000,0.004
0.321,0.000,0.004
0.321,0.000,0.004
0.321,0.000,0.005
0.321,0.000,0.005
0.321,0.000,0.006
0.357,0.100,0.005
0.357,0.000,0.006
0.357,0.000,0.006
0.357,0.000,0.007
0.357,0.000,0.008
0.357,0.000,0.010
0.357,0.000,0.011
0.357,0.000,0.011
0.357,0.000,0.012
0.357,0.000,0.013
0.393,0.091,0.012
0.393,0.000,0.013
0.393,0.000,0.014
0.393,0.000,0.012
0.393,0.000,0.013
0.393,0.000,0.015
0.393,0.000,0.014
0.393,0.000,0.015
0.393,0.000,0.015
0.393,0.000,0.015
0.393,0.000,0.016
0.393,0.000,0.016
0.393,0.000,0.017
0.393,0.000,0.018
0.393,0.000,0.018
0.393,0.000,0.019
0.393,0.000,0.019
0.393,0.000,0.020
0.393,0.000,0.021
0.393,0.000,0.021
0.393,0.000,0.022
0.393,0.000,0.023
0.393,0.000,0.024
0.393,0.000,0.024
0.393,0.000,0.025
0.393,0.000,0.025
0.393,0.000,0.028
0.393,0.000,0.027
0.393,0.000,0.028
0.393,0.000,0.029
0.393,0.000,0.029
0.393,0.000,0.030
0.393,0.000,0.031
0.357,0.000,0.016
0.357,0.000,0.016
0.357,0.000,0.017
0.357,0.000,0.017
0.357,0.000,0.018
0.357,0.000,0.019
0.357,0.000,0.019
0.357,0.000,0.020
0.357,0.000,0.021
0.357,0.000,0.021
0.357,0.000,0.022
0.357,0.000,0.023
0.357,0.000,0.023
0.357,0.000,0.024
0.357,0.000,0.025
0.429,0.167,0.024
0.429,0.000,0.026
0.429,0.000,0.027
0.429,0.000,0.028
0.393,0.000,0.013
0.393,0.000,0.009
0.393,0.000,0.009
0.393,0.000,0.010
0.393,0.000,0.011
0.393,0.000,0.012
0.393,0.000,0.013
0.393,0.000,0.014
0.393,0.000,0.015
0.393,0.000,0.015
0.393,0.000,0.016
0.393,0.000,0.017
0.393,0.000,0.018
0.393,0.000,0.019
0.393,0.000,0.020
0.393,0.000,0.021
0.393,0.000,0.022
0.393,0.000,0.023
0.393,0.000,0.024
0.393,0.000,0.025
0.393,0.000,0.025
0.393,0.000,0.026
0.393,0.000,0.027
0.393,0.000,0.032
0.393,0.000,0.030
0.393,0.000,0.031
0.393,0.000,0.032
0.393,0.000,0.033
0.393,0.000,0.034
0.393,0.000,0.035
0.393,0.000,0.037
0.393,0.000,0.038
0.393,0.000,0.039
0.357,0.000,0.024
0.357,0.000,0.025
0.357,0.000,0.026
0.357,0.000,0.028
0.357,0.000,0.029
0.357,0.000,0.030
0.357,0.000,0.032
0.357,0.000,0.033
0.357,0.000,0.034
0.357,0.000,0.036
0.357,0.000,0.037
0.357,0.000,0.038
0.357,0.000,0.040
0.357,0.000,0.041
0.357,0.000,0.042
0.357,0.000,0.044
0.357,0.000,0.045
0.357,0.000,0.046
0.357,0.000,0.051
0.357,0.000,0.050
0.357,0.000,0.052
0.357,0.000,0.053
0.357,0.000,0.054
0.357,0.000,0.056
0.357,0.000,0.057
0.357,0.000,0.058
0.357,0.000,0.060
0.357,0.000,0.061
0.357,0.000,0.063
0.357,0.000,0.065
0.393,0.091,0.060
0.321,0.000,0.027
0.321,0.000,0.029
0.321,0.000,0.030
0.321,0.000,0.031
0.321,0.000,0.032
0.321,0.000,0.033
0.321,0.000,0.034
0.321,0.000,0.036
0.321,0.000,0.037
0.321,0.000,0.038
0.321,0.000,0.038
0.321,0.000,0.040
0.321,0.000,0.041
0.321,0.000,0.042
0.321,0.000,0.044
0.321,0.000,0.046
0.321,0.000,0.047
0.321,0.000,0.049
0.321,0.000,0.050
0.321,0.000,0.051
0.321,0.000,0.053
0.321,0.000,0.054
0.286,0.000,0.037
0.286,0.000,0.039
0.286,0.000,0.040
0.286,0.000,0.042
0.286,0.000,0.045
0.286,0.000,0.048
0.250,0.000,0.028
0.250,0.000,0.027
0.250,0.000,0.029
0.250,0.000,0.031
0.250,0.000,0.034
0.250,0.000,0.036
0.250,0.000,0.039
0.250,0.000,0.041
0.250,0.000,0.043
0.250,0.000,0.046
0.250,0.000,0.048
0.250,0.000,0.051
0.250,0.000,0.053
0.250,0.000,0.055
0.250,0.000,0.061
0.250,0.000,0.063
0.250,0.000,0.066
0.250,0.000,0.067
0.250,0.000,0.070
0.250,0.000,0.072
0.286,0.125,0.050
0.286,0.000,0.052
0.286,0.000,0.055
0.286,0.000,0.057
0.286,0.000,0.060
0.250,0.000,0.034
0.250,0.000,0.037
0.250,0.000,0.039
0.250,0.000,0.041
0.250,0.000,0.044
0.250,0.000,0.046
0.250,0.000,0.049
0.250,0.000,0.051
0.250,0.000,0.053
0.250,0.000,0.056
0.250,0.000,0.058
0.250,0.000,0.060
0.250,0.000,0.063
0.250,0.000,0.065
0.250,0.000,0.068
0.250,0.000,0.073
0.250,0.000,0.076
0.250,0.000,0.078
0.250,0.000,0.081
0.214,0.000,0.063
0.214,0.000,0.066
0.214,0.000,0.068
0.214,0.000,0.070
0.214,0.000,0.072
0.214,0.000,0.074
0.214,0.000,0.077
0.214,0.000,0.079
0.214,0.000,0.081
0.179,0.000,0.060
0.179,0.000,0.062
0.179,0.000,0.063
0.179,0.000,0.065
0.179,0.000,0.068
0.179,0.000,0.069
0.179,0.000,0.071
0.179,0.000,0.073
0.179,0.000,0.075
0.179,0.000,0.077
0.179,0.000,0.079
0.179,0.000,0.081
0.179,0.000,0.083
0.179,0.000,0.085
0.179,0.000,0.087
0.179,0.000,0.091
0.179,0.000,0.093
0.179,0.000,0.095
0.179,0.000,0.097
0.179,0.000,0.099
0.179,0.000,0.101
0.179,0.000,0.103
0.179,0.000,0.105
0.179,0.000,0.107
0.179,0.000,0.109
0.179,0.000,0.112
0.179,0.000,0.114
0.179,0.000,0.116
0.179,0.000,0.118
0.143,0.000,0.100
0.071,0.000,0.003
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.003
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.071,0.000,0.000
0.143,0.500,0.000
0.143,0.000,0.002
0.143,0.000,0.003
0.143,0.000,0.005
0.143,0.000,0.007
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.002
0.143,0.000,0.003
0.143,0.000,0.005
0.143,0.000,0.007
0.143,0.000,0.008
0.143,0.000,0.013
0.143,0.000,0.015
0.143,0.000,0.017
0.143,0.000,0.018
0.143,0.000,0.020
0.143,0.000,0.022
0.143,0.000,0.023
0.143,0.000,0.025
0.321,0.556,0.009
0.321,0.000,0.008
0.321,0.000,0.009
0.321,0.000,0.010
0.321,0.000,0.011
0.321,0.000,0.010
0.321,0.000,0.011
0.321,0.000,0.013
0.321,0.000,0.014
0.357,0.100,0.013
0.357,0.000,0.015
0.357,0.000,0.016
0.357,0.000,0.018
0.357,0.000,0.020
0.357,0.000,0.021
0.357,0.000,0.023
0.357,0.000,0.025
0.357,0.000,0.026
0.357,0.000,0.028
0.357,0.000,0.030
0.357,0.000,0.035
0.357,0.000,0.036
0.357,0.000,0.038
0.357,0.000,0.040
0.357,0.000,0.041
0.357,0.000,0.043
0.357,0.000,0.045
0.357,0.000,0.046
0.357,0.000,0.048
0.357,0.000,0.048
0.357,0.000,0.050
0.357,0.000,0.051
0.357,0.000,0.053
0.357,0.000,0.055
0.357,0.000,0.056
0.357,0.000,0.058
0.357,0.000,0.060
0.357,0.000,0.061
0.357,0.000,0.063
0.357,0.000,0.065
0.357,0.000,0.066
0.357,0.000,0.068
0.357,0.000,0.070
0.357,0.000,0.071
0.321,0.000,0.059
0.321,0.000,0.060
0.321,0.000,0.063
0.321,0.000,0.065
0.321,0.000,0.066
0.321,0.000,0.068
0.321,0.000,0.069
0.321,0.000,0.071
0.321,0.000,0.072
0.321,0.000,0.074
0.321,0.000,0.075
0.321,0.000,0.077
0.321,0.000,0.078
0.286,0.000,0.065
0.286,0.000,0.066
0.286,0.000,0.067
0.286,0.000,0.068
0.286,0.000,0.072
0.250,0.000,0.052
0.250,0.000,0.053
0.250,0.000,0.054
0.250,0.000,0.055
0.250,0.000,0.056
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.003
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.003
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.000
0.179,0.000,0.003
0.179,0.000,0.000
0.179,0.000,0.000
0.250,0.286,0.000
0.250,0.000,0.001
0.250,0.000,0.002
0.250,0.000,0.003
0.250,0.000,0.004
0.250,0.000,0.000
0.250,0.000,0.001
0.250,0.000,0.002
0.250,0.000,0.003
0.250,0.000,0.004
0.250,0.000,0.002
0.250,0.000,0.003
0.250,0.000,0.008
0.250,0.000,0.009
0.250,0.000,0.009
0.250,0.000,0.008
0.250,0.000,0.009
0.250,0.000,0.010
0.250,0.000,0.011
0.250,0.000,0.012
0.250,0.000,0.014
0.250,0.000,0.015
0.250,0.000,0.017
0.250,0.000,0.018
0.250,0.000,0.019
0.250,0.000,0.021
0.250,0.000,0.023
0.250,0.000,0.026
0.250,0.000,0.028
0.250,0.000,0.030
0.250,0.000,0.033
0.250,0.000,0.035
0.250,0.000,0.038
0.250,0.000,0.040
0.250,0.000,0.042
0.250,0.000,0.045
0.250,0.000,0.047
0.250,0.000,0.050
0.250,0.000,0.052
0.250,0.000,0.058
0.250,0.000,0.061
0.250,0.000,0.065
0.250,0.000,0.068
0.250,0.000,0.071
0.250,0.000,0.075
0.250,0.000,0.078
0.250,0.000,0.081
0.250,0.000,0.085
0.250,0.000,0.088
0.286,0.125,0.063
0.286,0.000,0.066
0.286,0.000,0.067
0.286,0.000,0.070
0.286,0.000,0.072
0.286,0.000,0.073
0.286,0.000,0.075
0.286,0.000,0.078
0.286,0.000,0.080
0.286,0.000,0.083
0.286,0.000,0.085
0.286,0.000,0.088
0.286,0.000,0.090
0.286,0.000,0.093
0.250,0.000,0.080
0.250,0.000,0.083
0.250,0.000,0.085
0.250,0.000,0.088
0.250,0.000,0.089
0.321,0.333,0.033
0.321,0.000,0.040
0.321,0.000,0.041
0.321,0.000,0.044
0.321,0.000,0.045
0.321,0.000,0.044
0.321,0.000,0.046
0.321,0.000,0.049
0.321,0.000,0.050
0.321,0.000,0.054
0.321,0.000,0.055
0.321,0.000,0.058
0.321,0.000,0.060
0.321,0.000,0.063
0.321,0.000,0.065
0.286,0.000,0.052
0.286,0.000,0.054
0.286,0.000,0.057
0.286,0.000,0.059
0.321,0.111,0.055
0.321,0.000,0.057
0.321,0.000,0.060
0.321,0.000,0.062
0.321,0.000,0.066
0.321,0.000,0.066
0.321,0.000,0.069
0.321,0.000,0.071
0.321,0.000,0.074
0.321,0.000,0.079
0.321,0.000,0.083
0.321,0.000,0.084
0.321,0.000,0.088
0.321,0.000,0.090
0.321,0.000,0.093
0.321,0.000,0.094
0.321,0.000,0.097
0.321,0.000,0.100
0.321,0.000,0.102
0.321,0.000,0.105
0.321,0.000,0.107
0.321,0.000,0.110
0.321,0.000,0.112
0.321,0.000,0.116
0.321,0.000,0.117
0.321,0.000,0.120
0.321,0.000,0.123
0.321,0.000,0.126
0.321,0.000,0.128
0.321,0.000,0.114
0.321,0.000,0.116
0.321,0.000,0.118
0.321,0.000,0.120
0.321,0.000,0.123
0.321,0.000,0.125
0.321,0.000,0.127
0.321,0.000,0.133
0.321,0.000,0.135
0.321,0.000,0.136
0.321,0.000,0.140
0.321,0.000,0.142
0.321,0.000,0.144
0.321,0.000,0.147
0.321,0.000,0.149
0.321,0.000,0.152
0.321,0.000,0.154
0.321,0.000,0.157
0.321,0.000,0.160
0.321,0.000,0.162
0.321,0.000,0.165
0.321,0.000,0.167
0.321,0.000,0.170
0.321,0.000,0.173
0.321,0.000,0.175
0.321,0.000,0.178
0.321,0.000,0.180
0.321,0.000,0.183
0.321,0.000,0.186
0.321,0.000,0.188
0.321,0.000,0.191
0.321,0.000,0.193
0.321,0.000,0.196
0.321,0.000,0.199
0.321,0.000,0.201
0.321,0.000,0.207
0.321,0.000,0.210
0.107,0.000,0.036
0.107,0.000,0.037
0.107,0.000,0.038
0.107,0.000,0.039
0.107,0.000,0.040
0.107,0.000,0.041
0.107,0.000,0.042
0.107,0.000,0.041
0.107,0.000,0.042
0.107,0.000,0.043
0.107,0.000,0.044
0.107,0.000,0.046
0.107,0.000,0.047
0.107,0.000,0.048
0.107,0.000,0.049
0.107,0.000,0.050
0.107,0.000,0.051
0.107,0.000,0.052
0.107,0.000,0.053
0.107,0.000,0.054
0.107,0.000,0.056
0.107,0.000,0.057
0.107,0.000,0.060
0.107,0.000,0.063
0.107,0.000,0.060
0.107,0.000,0.063
0.107,0.000,0.067
0.107,0.000,0.070
0.107,0.000,0.077
0.071,0.000,0.020
0.071,0.000,0.023
0.107,0.333,0.011
0.107,0.000,0.012
0.107,0.000,0.013
0.107,0.000,0.014
0.107,0.000,0.016
0.107,0.000,0.017
0.107,0.000,0.018
0.107,0.000,0.017
0.107,0.000,0.018
0.107,0.000,0.019
0.107,0.000,0.020
0.107,0.000,0.021
0.107,0.000,0.022
0.107,0.000,0.023
0.107,0.000,0.024
0.107,0.000,0.026
0.107,0.000,0.027
0.107,0.000,0.028
0.107,0.000,0.029
0.107,0.000,0.030
0.107,0.000,0.031
0.107,0.000,0.032
0.107,0.000,0.033
0.107,0.000,0.034
0.107,0.000,0.036
0.107,0.000,0.037
0.107,0.000,0.041
0.107,0.000,0.042
0.107,0.000,0.043
0.179,0.400,0.028
0.179,0.000,0.030
0.179,0.000,0.032
0.179,0.000,0.034
0.179,0.000,0.036
0.179,0.000,0.033
0.179,0.000,0.036
0.179,0.000,0.038
0.179,0.000,0.040
0.179,0.000,0.042
0.250,0.286,0.030
0.250,0.000,0.030
0.250,0.000,0.032
0.250,0.000,0.033
0.250,0.000,0.034
0.250,0.000,0.036
0.250,0.000,0.037
0.250,0.000,0.039
0.250,0.000,0.040
0.250,0.000,0.041
0.250,0.000,0.043
0.250,0.000,0.044
0.250,0.000,0.046
0.214,0.000,0.021
0.214,0.000,0.026
0.214,0.000,0.027
0.214,0.000,0.028
0.214,0.000,0.029
0.214,0.000,0.030
0.214,0.000,0.031
0.214,0.000,0.032
0.214,0.000,0.033
0.214,0.000,0.032
0.214,0.000,0.033
0.214,0.000,0.034
0.214,0.000,0.036
0.214,0.000,0.037
0.214,0.000,0.038
0.214,0.000,0.040
0.214,0.000,0.040
0.214,0.000,0.041
0.214,0.000,0.042
0.214,0.000,0.043
0.214,0.000,0.044
0.214,0.000,0.046
0.214,0.000,0.047
0.214,0.000,0.048
0.214,0.000,0.049
0.214,0.000,0.050
0.214,0.000,0.051
0.214,0.000,0.056
0.214,0.000,0.057
0.214,0.000,0.058
0.214,0.000,0.059
0.214,0.000,0.060
0.214,0.000,0.061
0.214,0.000,0.062
0.179,0.000,0.036
0.179,0.000,0.034
0.179,0.000,0.035
0.179,0.000,0.035
0.179,0.000,0.036
0.179,0.000,0.037
0.179,0.000,0.037
0.179,0.000,0.038
0.179,0.000,0.039
0.179,0.000,0.039
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.000
0.143,0.000,0.003
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.002
0.143,0.000,0.003
0.143,0.000,0.005
0.143,0.000,0.007
0.143,0.000,0.008
0.143,0.000,0.010
0.143,0.000,0.012
0.143,0.000,0.013
0.143,0.000,0.015
0.143,0.000,0.017
0.143,0.000,0.018
0.143,0.000,0.020
0.143,0.000,0.022
0.143,0.000,0.023
0.143,0.000,0.025
0.143,0.000,0.027
0.143,0.000,0.030
0.143,0.000,0.032
0.143,0.000,0.033
0.179,0.200,0.029
0.179,0.000,0.031
0.179,0.000,0.033
0.179,0.000,0.035
0.179,0.000,0.037
0.179,0.000,0.035
0.179,0.000,0.037
0.179,0.000,0.039
0.179,0.000,0.041
0.179,0.000,0.043
0.179,0.000,0.045
0.179,0.000,0.047
0.179,0.000,0.049
0.179,0.000,0.051
0.179,0.000,0.053
0.179,0.000,0.055
0.179,0.000,0.057
0.179,0.000,0.059
0.179,0.000,0.061
0.214,0.167,0.030
0.214,0.000,0.032
0.214,0.000,0.036
0.214,0.000,0.039
0.214,0.000,0.042
0.214,0.000,0.040
0.214,0.000,0.046
0.214,0.000,0.049
0.214,0.000,0.052
0.214,0.000,0.056
0.250,0.143,0.049
0.250,0.000,0.052
0.250,0.000,0.056
0.250,0.000,0.059
0.250,0.000,0.062
0.250,0.000,0.060
0.250,0.000,0.064
0.250,0.000,0.067
0.250,0.000,0.070
0.250,0.000,0.074
0.250,0.000,0.066
0.250,0.000,0.070
0.214,0.000,0.047
0.214,0.000,0.050
0.214,0.000,0.051
0.214,0.000,0.054
0.214,0.000,0.056
0.214,0.000,0.059
0.214,0.000,0.060
0.214,0.000,0.063
0.214,0.000,0.064
0.214,0.000,0.068
0.214,0.000,0.069
0.214,0.000,0.076
0.214,0.000,0.077
0.214,0.000,0.078
0.214,0.000,0.081
0.214,0.000,0.082
0.250,0.143,0.074
0.286,0.125,0.068
0.286,0.000,0.070
0.286,0.000,0.071
0.286,0.000,0.075
0.286,0.000,0.076
0.286,0.000,0.080
0.286,0.000,0.081
0.286,0.000,0.085
0.286,0.000,0.086
0.286,0.000,0.090
0.286,0.000,0.091
0.286,0.000,0.094
0.250,0.000,0.078
0.250,0.000,0.081
0.250,0.000,0.083
0.250,0.000,0.086
0.250,0.000,0.088
0.250,0.000,0.091
0.250,0.000,0.092
0.321,0.222,0.019
0.321,0.000,0.021
0.321,0.000,0.021
